customer_id,name,phone number,email_address
1,Martin Hobbs,1482649133,barjam@live.com
2,Allan Shea,2084419502,syrinx@me.com
3,Garfield Soto,1271444124,sjava@aol.com
4,Eshan Schwartz,1772750000,smcnabb@me.com
5,Rhiannon Chandler,1190521247,aaribaud@mac.com
6,Kalem Matthews,1306740158,thaljef@yahoo.com
7,Alister Schneider,1206735065,erynf@me.com
8,Shanice Beil,1594841333,adamk@yahoo.com
9,Mahamed Pierce,1827818216,dgriffith@msn.com
10,Jamie-Lee Bryant,1513292353,adamk@gmail.com
11,Janelle Wall,1463783417,dkrishna@aol.com
12,Emil Kenny,1582705044,jusdisgi@comcast.net
13,Mohamad Meyer,1324473707,ngedmond@me.com
14,Brenden Goff,1512631112,mobileip@me.com
15,Nina Cook,2077208630,scitext@hotmail.com
16,Salma Dickinson,2087959400,isorashi@optonline.net
17,Loui Montes,1591140738,arachne@me.com
18,Hadley Mcdonald,1608683022,bahwi@aol.com
19,Tasnim Melton,1214657850,dalamb@comcast.net
20,Zackary Herman,1752269632,ylchang@msn.com
